instance_of,instance_ofLabel
http://www.wikidata.org/entity/Q1410912,House Martell
http://www.wikidata.org/entity/Q1410916,House Tyrell
http://www.wikidata.org/entity/Q1411019,House Arryn
http://www.wikidata.org/entity/Q1645774,House Greyjoy
http://www.wikidata.org/entity/Q2304848,House Baratheon
http://www.wikidata.org/entity/Q2320477,House Tully
http://www.wikidata.org/entity/Q2341521,House Targaryen
http://www.wikidata.org/entity/Q2704863,House Stark
http://www.wikidata.org/entity/Q2739222,House Lannister
http://www.wikidata.org/entity/Q5697113,House Mormont
http://www.wikidata.org/entity/Q5754554,House Umber
http://www.wikidata.org/entity/Q8341562,House Bolton
http://www.wikidata.org/entity/Q11680574,House Frey
http://www.wikidata.org/entity/Q17996892,House Tarly
http://www.wikidata.org/entity/Q17996893,House Tarth
http://www.wikidata.org/entity/Q55451218,House Blackfyre
